File Name,Project Name,Random Line
g03-loudoun.txt,loudoun,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to keep track of store orders so that I can schedule orders."
g19-alfred.txt,alfred,"As an OlderPerson, I want to use ALFRED to control the heating."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to see all store orders."
g05-openspending.txt,openspending,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in."
User Stories for Library Management System.txt,Library Management System,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process."
g05-openspending.txt,openspending,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a customer, I want to be able to pay the bill partially"
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to have employee data on the system including clock in and out information."
g03-loudoun.txt,loudoun,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant."
g27-culrepo.txt,culrepo,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is."
g25-duraspace.txt,duraspace,"As a user, I want to scope my searches for collections, objects, or object components to a specific language."
g19-alfred.txt,alfred,"As a MedicalCaregiver, I want to locate the ALFRED user."
g27-culrepo.txt,culrepo,"As a library staff member, I want to be able to assign an item to more than one collection."
g25-duraspace.txt,duraspace,"As a repository manager, I want to indicate any name that is pertinent to the component."
User Stories for Library Management System.txt,Library Management System,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a restaurant employee, I want to receive a notification message when the customer places an order."
User Stories for Library Management System.txt,Library Management System,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan."
g27-culrepo.txt,culrepo,"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution."
g25-duraspace.txt,duraspace,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event."
g02-federalspending.txt,federalspending,"As a Developer I want to quickly access Broker application data, so that I can investigate issues."
g02-federalspending.txt,federalspending,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes."
g19-alfred.txt,alfred,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals."
g04-recycling.txt,recycling,"As an admin, I want to handle all users' activities, so that I can manage more efficiently."
g16-mis.txt,mis,"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data."
g04-recycling.txt,recycling,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood."
g28-zooniverse.txt,zooniverse,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images."
User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to delete books from the library."
g19-alfred.txt,alfred,"As an OlderPerson, I want to be able to see my training Performance."
g02-federalspending.txt,federalspending,"As an Agency user, I want to be able to include a large number of flexfields without performance impact."
g13-planningpoker.txt,planningpoker,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree."
g22-rdadmp.txt,rdadmp,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project."
g21-badcamp.txt,badcamp,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event."
g21-badcamp.txt,badcamp,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent."
g13-planningpoker.txt,planningpoker,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates."
g26-racdam.txt,racdam,"As an archivist, I want to link electronic versions of researchers' publications to citations, so that I can share them with other researchers."
g16-mis.txt,mis,"As a repoadmin, I want to have Symplectic Elements to communicate"
g22-rdadmp.txt,rdadmp,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information."
g19-alfred.txt,alfred,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily."
g25-duraspace.txt,duraspace,"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to save the menu each month."
g23-archivesspace.txt,archivesspace,"As an Archivist, I want to upload an EAD for import from within the frontend application."
g22-rdadmp.txt,rdadmp,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it."
User Stories for Library Management System.txt,Library Management System,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want."
User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to update pages for book information."
g23-archivesspace.txt,archivesspace,"As a user, I want frontend changes for managing enum lists."
g28-zooniverse.txt,zooniverse,"As an admin, I want to automatically validated the ingested contents for copyright infringement."
User Stories for Library Management System.txt,Library Management System,"As a manager, I want to delete library members."
g04-recycling.txt,recycling,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to update the ingredients of the menu items."
g04-recycling.txt,recycling,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a manager, I want to display orders by date."
g26-racdam.txt,racdam,"As an archivist, I want to upload a single file."
User Stories for Library Management System.txt,Library Management System,"As a librarian, I want to create information about borrowed books."
User Stories for Library Management System.txt,Library Management System,"As a Staff, I want to edit book, so that I can correct book records those are faulty."
g27-culrepo.txt,culrepo,"As a library staff member, I want to upload large batches of items simultaneously, including descriptive metadata, so that I can offer service to authors efficiently."
g26-racdam.txt,racdam,"As an archivist, I want to access metadata and visual representations of index cards, so that I can use that information to assist researchers."
User Stories for Restaurant Management System.txt,Restaurant Management System,"As a chef, I want to create dishes so that I can follow customer comments."
g04-recycling.txt,recycling,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted."
g22-rdadmp.txt,rdadmp,"As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project."
g11-nsf.txt,nsf,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview."
User Stories for Library Management System.txt,Library Management System,"As a member, I want to calculate the fine for delayed returns by automatically."
