ID,File Name,Project Name,User story,GPT Generated seq in PlantUML format,QE1(Our Tool),QE2 (Our Tool),QE3 (Our Tool),QE4 (Our Tool),QE5 (Our Tool),QE1 (GPT),QE2 (GPT),QE3 (GPT),QE4 (GPT),QE5 (GPT)
1,g03-loudoun.txt,loudoun,"As a Zoning Staff member, I want to Process the Requests for Zoning Information, so that I can capture my response to the request in the system and also send a communication from the system to the Applicant.","@startuml
actor ZoningStaff
actor System
actor Applicant

ZoningStaff -> System: Submit Zoning Request
System -> System: Capture Request Details
System -> ZoningStaff: Acknowledge Receipt

activate ZoningStaff

loop until request processed
    ZoningStaff -> System: Process Request
    System -> System: Update Zoning Information
    System -> Applicant: Send Communication
    Applicant -> System: Receive Communication
    System -> ZoningStaff: Notify Completion
end

deactivate ZoningStaff

@enduml
",y,9,8,10,y,y,10,10,10,y
2,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to keep track of store orders so that I can schedule orders.","@startuml
actor Cook
actor System
actor Store

Cook -> System: Place Order
System -> System: Record Order Details
System -> Store: Send Order
Store -> System: Confirm Order Received

activate System

loop until all orders scheduled
    System -> System: Schedule Order
    System -> Cook: Provide Schedule
end

deactivate System

@enduml
",y,7,7,5,n,y,10,10,10,y
3,g19-alfred.txt,alfred,"As an OlderPerson, I want to use ALFRED to control the heating.","@startuml
actor OlderPerson
actor ALFRED

OlderPerson -> ALFRED: Activate Heating Control
ALFRED -> ALFRED: Authenticate User
ALFRED -> ALFRED: Retrieve User Preferences
ALFRED -> ALFRED: Check Current Temperature
ALFRED -> ALFRED: Display Heating Options

activate OlderPerson

OlderPerson -> ALFRED: Set Desired Temperature
ALFRED -> ALFRED: Adjust Heating Settings
ALFRED -> ALFRED: Confirm Settings Updated
ALFRED -> ALFRED: Activate Heating System

deactivate OlderPerson

@enduml
",y,3,3,3,n,y,10,10,10,y
4,User Stories for Restaurant Management System.txt,Restaurant Management System,"As an employee, I want to see all store orders.","@startuml
actor Employee
actor System
actor Store

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: View All Store Orders
System -> System: Retrieve Orders Data
System -> Employee: Display Orders

deactivate Employee

@enduml
",y,6,5,4,y,y,7,8,7,n
5,g05-openspending.txt,openspending,"As a Data Consuming User, I want to be able to search any dataset published and publicly accessible by their title and metadata, So that I can find the datasets I'm interested in.","@startuml
actor User
actor System
database DatasetRepository

User -> System: Perform Search (by title and metadata)
System -> DatasetRepository: Search Datasets
DatasetRepository -> System: Return Search Results
System -> User: Display Search Results

activate User

User -> System: Select Dataset
System -> DatasetRepository: Retrieve Dataset Details
DatasetRepository -> System: Provide Dataset Details
System -> User: Display Dataset Information

deactivate User

@enduml
",y,5,4,8,y,y,10,10,10,y
6,User Stories for Library Management System.txt,Library Management System,"As a library member, I want to locate related books and see the shelf number in the library by using unique information to speed up the searching process.","@startuml
actor LibraryMember
actor System
database LibraryCatalog

LibraryMember -> System: Log In
System -> System: Authenticate Library Member
System -> LibraryCatalog: Search for Related Books
LibraryCatalog --> System: Return Search Results
System -> LibraryMember: Display Search Results

activate LibraryMember

LibraryMember -> System: Select Book
System -> LibraryCatalog: Retrieve Shelf Number
LibraryCatalog --> System: Return Shelf Number
System -> LibraryMember: Display Shelf Number

deactivate LibraryMember

@enduml
",y,4,4,4,y,y,10,10,10,y
7,g05-openspending.txt,openspending,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","@startuml
actor APIUser
actor System
database Dataset1
database Dataset2

APIUser -> System: Request Data from Multiple Datasets
System -> Dataset1: Retrieve Data from Dataset1
Dataset1 --> System: Return Data from Dataset1
System -> Dataset2: Retrieve Data from Dataset2
Dataset2 --> System: Return Data from Dataset2
System --> APIUser: Return Combined Results

@enduml
",y,8,7,6,y,y,9,8,8,y
8,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a customer, I want to be able to pay the bill partially","@startuml
actor Customer
actor System
database BillingSystem

Customer -> System: Initiate Partial Payment
System -> BillingSystem: Retrieve Bill Details
BillingSystem --> System: Return Bill Details
System -> Customer: Display Bill Details

activate Customer

Customer -> System: Enter Partial Payment Amount
System -> BillingSystem: Process Partial Payment
BillingSystem --> System: Confirmation
System -> Customer: Display Payment Confirmation

deactivate Customer

@enduml
",n,5,7,7,y,y,10,10,10,y
9,User Stories for Restaurant Management System.txt,Restaurant Management System,"As a cook, I want to have employee data on the system including clock in and out information.","@startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml
",y,8,7,5,y,y,9,8,8,y
10,g03-loudoun.txt,loudoun,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","@startuml
actor PlanReviewStaff
actor System
actor Applicant

PlanReviewStaff -> System: Log In
System -> System: Authenticate Plan Review Staff
System -> PlanReviewStaff: Provide Access

activate PlanReviewStaff

PlanReviewStaff -> System: Retrieve Plans for Review
System -> System: Fetch Plan Details
System -> PlanReviewStaff: Display Plan Details

loop until review complete
    PlanReviewStaff -> System: Review Plan Compliance
    System -> PlanReviewStaff: Provide Review Feedback

    alt Approval
        PlanReviewStaff -> System: Approve Plan
        System -> System: Record Approval
    else Denial
        PlanReviewStaff -> System: Deny Plan
        System -> System: Record Denial
        PlanReviewStaff -> Applicant: Notify Conditions, Clearances, or Corrections Needed
    end

end

deactivate PlanReviewStaff

@enduml
",y,9,8,7,y,y,7,8,7,n
